work_year,job_title,salary_in_usd,employee_residence,company_location,job_category,experience_level_desc,employment_type_desc,work_setting,company_size_desc,region,residence_region,domestic_employment,cost_of_living_index,tech_stack,english_level,tech_specialization,role_maturity,career_path,ai_relationship,demand_index,economic_period,adjusted_salary,salary_to_experience_ratio,normalized_salary,total_compensation_estimate,work_life_balance,automation_risk,company_sector,salary_bracket,salary_competitiveness
2023,Data Analyst,130000,US,US,Data Analyst,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"SQL, Python, Excel, Tableau/PowerBI, Data Visualization",Native,5.0,Traditional,Analytical,Highly Augmented,8.5,Post-Pandemic,130000.0,43333.333333333336,92857.14285714287,162500.0,3.0,7.5,Technology,Medium-Low,Competitive
2023,Data Analyst,100000,US,US,Data Analyst,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"SQL, Python, Excel, Tableau/PowerBI, Data Visualization",Native,5.0,Traditional,Analytical,Highly Augmented,8.5,Post-Pandemic,100000.0,33333.333333333336,71428.57142857143,125000.0,3.0,7.5,Technology,Medium-Low,Competitive
2023,Applied Scientist,213660,US,US,Applied Data Scientist,Entry-Level,Full-time,On-site,Large,North America,North America,True,100.0,"Python, PyTorch/TensorFlow, SQL, Domain Expertise",Native,8.5,Other,Technical,Develops AI,8.8,Post-Pandemic,213660.0,213660.0,356100.0,277757.99999999994,2.0,3.8,Technology,High,Highly Competitive
2023,Applied Scientist,130760,US,US,Applied Data Scientist,Entry-Level,Full-time,On-site,Large,North America,North America,True,100.0,"Python, PyTorch/TensorFlow, SQL, Domain Expertise",Native,8.5,Other,Technical,Develops AI,8.8,Post-Pandemic,130760.0,130760.0,217933.33333333334,169987.99999999997,2.0,3.8,Technology,Medium-Low,Competitive
2023,Data Modeler,147100,US,US,Other Data Professional,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, SQL, Data Analysis Tools",Native,6.0,Other,Other,Undefined,8.0,Post-Pandemic,147100.0,49033.333333333336,105071.42857142858,183875.0,2.0,5.0,Technology,Medium-High,Competitive
2023,Data Modeler,90700,US,US,Other Data Professional,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, SQL, Data Analysis Tools",Native,6.0,Other,Other,Undefined,8.0,Post-Pandemic,90700.0,30233.333333333332,64785.71428571429,113375.0,2.0,5.0,Technology,Low,Average
2023,Data Scientist,170000,US,US,Data Scientist,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,170000.0,56666.666666666664,121428.57142857143,212500.0,2.0,4.0,Technology,Medium-High,Competitive
2023,Data Scientist,150000,US,US,Data Scientist,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,150000.0,50000.0,107142.85714285714,187500.0,2.0,4.0,Technology,Medium-High,Average
2023,Data Analyst,150000,US,US,Data Analyst,Mid-Level,Full-time,Remote,Medium,North America,North America,True,100.0,"SQL, Python, Excel, Tableau/PowerBI, Data Visualization",Native,5.0,Traditional,Analytical,Highly Augmented,8.5,Post-Pandemic,150000.0,75000.0,150000.0,187500.0,3.0,7.5,Technology,Medium-High,Highly Competitive
2023,Data Analyst,110000,US,US,Data Analyst,Mid-Level,Full-time,Remote,Medium,North America,North America,True,100.0,"SQL, Python, Excel, Tableau/PowerBI, Data Visualization",Native,5.0,Traditional,Analytical,Highly Augmented,8.5,Post-Pandemic,110000.0,55000.0,110000.0,137500.0,3.0,7.5,Technology,Medium-Low,Competitive
2023,Research Engineer,275000,DE,DE,MLOps/Infrastructure Engineer,Senior,Full-time,On-site,Medium,Europe,Europe,True,90.0,"Docker, Kubernetes, CI/CD, Cloud, ML Platforms",Advanced,8.5,New,DevOps,Supports AI,9.4,Post-Pandemic,305555.55555555556,91666.66666666667,178571.42857142858,324500.00000000006,2.0,3.5,Technology,High,Highly Competitive
2023,Research Engineer,174000,DE,DE,MLOps/Infrastructure Engineer,Senior,Full-time,On-site,Medium,Europe,Europe,True,90.0,"Docker, Kubernetes, CI/CD, Cloud, ML Platforms",Advanced,8.5,New,DevOps,Supports AI,9.4,Post-Pandemic,193333.33333333334,58000.0,112987.01298701299,205320.00000000003,2.0,3.5,Technology,Medium-High,Highly Competitive
2023,Analytics Engineer,230000,GB,GB,Data Analyst,Senior,Full-time,Remote,Medium,Europe,Europe,True,105.0,"SQL, Python, Excel, Tableau/PowerBI, Data Visualization",Native,5.0,Traditional,Analytical,Highly Augmented,8.5,Post-Pandemic,219047.61904761902,76666.66666666667,149350.64935064936,276000.00000000006,3.0,7.5,Technology,High,Highly Competitive
2023,Analytics Engineer,143200,GB,GB,Data Analyst,Senior,Full-time,Remote,Medium,Europe,Europe,True,105.0,"SQL, Python, Excel, Tableau/PowerBI, Data Visualization",Native,5.0,Traditional,Analytical,Highly Augmented,8.5,Post-Pandemic,136380.95238095237,47733.333333333336,92987.01298701299,171840.00000000003,3.0,7.5,Technology,Medium-High,Competitive
2023,Business Intelligence Engineer,225000,US,US,MLOps/Infrastructure Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Docker, Kubernetes, CI/CD, Cloud, ML Platforms",Native,8.5,New,DevOps,Supports AI,9.4,Post-Pandemic,225000.0,75000.0,160714.2857142857,281250.0,2.0,3.5,Technology,High,Highly Competitive
2023,Business Intelligence Engineer,156400,US,US,MLOps/Infrastructure Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Docker, Kubernetes, CI/CD, Cloud, ML Platforms",Native,8.5,New,DevOps,Supports AI,9.4,Post-Pandemic,156400.0,52133.333333333336,111714.28571428572,195500.0,2.0,3.5,Technology,Medium-High,Highly Competitive
2023,Machine Learning Engineer,200000,US,US,ML Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, TensorFlow/PyTorch, MLOps, Docker, Git",Native,8.0,Emerging,Technical,Develops AI,9.5,Post-Pandemic,200000.0,66666.66666666667,142857.14285714287,250000.0,2.0,3.0,Technology,High,Competitive
2023,Machine Learning Engineer,130000,US,US,ML Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, TensorFlow/PyTorch, MLOps, Docker, Git",Native,8.0,Emerging,Technical,Develops AI,9.5,Post-Pandemic,130000.0,43333.333333333336,92857.14285714287,162500.0,2.0,3.0,Technology,Medium-Low,Below Average
2023,Data Strategist,90000,CA,CA,Other Data Professional,Senior,Full-time,On-site,Medium,North America,North America,True,95.0,"Python, SQL, Data Analysis Tools",Native,6.0,Other,Other,Undefined,8.0,Post-Pandemic,94736.84210526316,30000.0,64285.71428571429,109800.00000000001,2.0,5.0,Mixed,Low,Average
2023,Data Strategist,72000,CA,CA,Other Data Professional,Senior,Full-time,On-site,Medium,North America,North America,True,95.0,"Python, SQL, Data Analysis Tools",Native,6.0,Other,Other,Undefined,8.0,Post-Pandemic,75789.47368421053,24000.0,51428.571428571435,87840.00000000001,2.0,5.0,Mixed,Low,Below Average
2023,Data Engineer,253200,US,US,Data Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,253200.0,84400.0,180857.14285714287,316500.0,2.0,4.5,Technology,High,Competitive
2023,Data Engineer,90700,US,US,Data Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,90700.0,30233.333333333332,64785.71428571429,113375.0,2.0,4.5,Technology,Low,Below Average
2023,Computer Vision Engineer,342810,US,US,MLOps/Infrastructure Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Docker, Kubernetes, CI/CD, Cloud, ML Platforms",Native,8.5,New,DevOps,Supports AI,9.4,Post-Pandemic,342810.0,114270.0,244864.28571428574,428512.5,2.0,3.5,Technology,High,Highly Competitive
2023,Computer Vision Engineer,184590,US,US,MLOps/Infrastructure Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Docker, Kubernetes, CI/CD, Cloud, ML Platforms",Native,8.5,New,DevOps,Supports AI,9.4,Post-Pandemic,184590.0,61530.0,131850.0,230737.5,2.0,3.5,Technology,High,Highly Competitive
2023,Data Engineer,162500,US,US,Data Engineer,Mid-Level,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,162500.0,81250.0,162500.0,203125.0,2.0,4.5,Technology,Medium-High,Competitive
2023,Data Engineer,130000,US,US,Data Engineer,Mid-Level,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,130000.0,65000.0,130000.0,162500.0,2.0,4.5,Technology,Medium-Low,Competitive
2023,Data Analyst,105380,US,US,Data Analyst,Mid-Level,Full-time,On-site,Medium,North America,North America,True,100.0,"SQL, Python, Excel, Tableau/PowerBI, Data Visualization",Native,5.0,Traditional,Analytical,Highly Augmented,8.5,Post-Pandemic,105380.0,52690.0,105380.0,131725.0,2.0,7.5,Technology,Medium-Low,Competitive
2023,Data Analyst,64500,US,US,Data Analyst,Mid-Level,Full-time,On-site,Medium,North America,North America,True,100.0,"SQL, Python, Excel, Tableau/PowerBI, Data Visualization",Native,5.0,Traditional,Analytical,Highly Augmented,8.5,Post-Pandemic,64500.0,32250.0,64500.0,80625.0,2.0,7.5,Technology,Low,Below Average
2023,Data Quality Analyst,100000,NG,NG,Data Analyst,Entry-Level,Full-time,Remote,Large,Africa,Africa,True,35.0,"SQL, Python, Excel, Tableau/PowerBI, Data Visualization",Intermediate,5.0,Traditional,Analytical,Highly Augmented,8.5,Post-Pandemic,285714.28571428574,100000.0,104166.66666666667,120000.0,3.0,7.5,Services,Medium-Low,Highly Competitive
2023,Compliance Data Analyst,30000,NG,NG,Data Analyst,Entry-Level,Full-time,Remote,Large,Africa,Africa,True,35.0,"SQL, Python, Excel, Tableau/PowerBI, Data Visualization",Intermediate,5.0,Traditional,Analytical,Highly Augmented,8.5,Post-Pandemic,85714.28571428572,30000.0,31250.0,36000.0,3.0,7.5,Services,Low,Below Average
2022,Machine Learning Engineer,20984,IN,IN,ML Engineer,Mid-Level,Full-time,Hybrid,Large,Asia,Asia,True,30.0,"Python, TensorFlow/PyTorch, MLOps, Docker, Git",Intermediate,8.0,Emerging,Technical,Develops AI,9.5,Post-Pandemic,69946.66666666667,10492.0,16141.538461538461,25180.8,2.5,3.0,Services,Low,Below Average
2023,Applied Scientist,204620,US,US,Applied Data Scientist,Entry-Level,Full-time,On-site,Large,North America,North America,True,100.0,"Python, PyTorch/TensorFlow, SQL, Domain Expertise",Native,8.5,Other,Technical,Develops AI,8.8,Post-Pandemic,204620.0,204620.0,341033.3333333334,266005.99999999994,2.0,3.8,Technology,High,Highly Competitive
2023,Applied Scientist,110680,US,US,Applied Data Scientist,Entry-Level,Full-time,On-site,Large,North America,North America,True,100.0,"Python, PyTorch/TensorFlow, SQL, Domain Expertise",Native,8.5,Other,Technical,Develops AI,8.8,Post-Pandemic,110680.0,110680.0,184466.6666666667,143883.99999999997,2.0,3.8,Technology,Medium-Low,Competitive
2023,Data Engineer,270703,US,US,Data Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,270703.0,90234.33333333333,193359.28571428574,338378.75,2.0,4.5,Technology,High,Highly Competitive
2023,Data Engineer,221484,US,US,Data Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,221484.0,73828.0,158202.85714285716,276855.0,2.0,4.5,Technology,High,Competitive
2023,Data Scientist,212750,US,US,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,212750.0,70916.66666666667,151964.2857142857,265937.5,3.0,4.0,Technology,High,Competitive
2023,Data Scientist,185000,US,US,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,185000.0,61666.666666666664,132142.85714285716,231250.0,3.0,4.0,Technology,High,Competitive
2023,Data Scientist,262000,US,US,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,262000.0,87333.33333333333,187142.85714285716,327500.0,3.0,4.0,Technology,High,Highly Competitive
2023,Data Scientist,245000,US,US,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,245000.0,81666.66666666667,175000.0,306250.0,3.0,4.0,Technology,High,Highly Competitive
2023,Data Scientist,275300,US,US,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,275300.0,91766.66666666667,196642.85714285716,344125.0,3.0,4.0,Technology,High,Highly Competitive
2023,Data Scientist,183500,US,US,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,183500.0,61166.666666666664,131071.42857142858,229375.0,3.0,4.0,Technology,High,Competitive
2023,Data Scientist,218500,US,US,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,218500.0,72833.33333333333,156071.42857142858,273125.0,3.0,4.0,Technology,High,Competitive
2023,Data Scientist,199098,US,US,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,199098.0,66366.0,142212.85714285716,248872.5,3.0,4.0,Technology,High,Competitive
2023,Data Engineer,203300,US,US,Data Engineer,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,203300.0,67766.66666666667,145214.2857142857,254125.0,3.0,4.5,Technology,High,Competitive
2023,Data Engineer,123600,US,US,Data Engineer,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,123600.0,41200.0,88285.71428571429,154500.0,3.0,4.5,Technology,Medium-Low,Below Average
2023,Research Engineer,189110,US,US,MLOps/Infrastructure Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Docker, Kubernetes, CI/CD, Cloud, ML Platforms",Native,8.5,New,DevOps,Supports AI,9.4,Post-Pandemic,189110.0,63036.666666666664,135078.57142857145,236387.5,2.0,3.5,Technology,High,Highly Competitive
2023,Research Engineer,139000,US,US,MLOps/Infrastructure Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Docker, Kubernetes, CI/CD, Cloud, ML Platforms",Native,8.5,New,DevOps,Supports AI,9.4,Post-Pandemic,139000.0,46333.333333333336,99285.71428571429,173750.0,2.0,3.5,Technology,Medium-High,Competitive
2023,Data Scientist,258750,US,US,Data Scientist,Executive,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,258750.0,64687.5,129375.0,323437.5,2.0,4.0,Technology,High,Highly Competitive
2023,Data Scientist,185000,US,US,Data Scientist,Executive,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,185000.0,46250.0,92500.0,231250.0,2.0,4.0,Technology,High,Highly Competitive
2023,Data Engineer,231500,US,US,Data Engineer,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,231500.0,77166.66666666667,165357.14285714287,289375.0,3.0,4.5,Technology,High,Competitive
2023,Data Engineer,166000,US,US,Data Engineer,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,166000.0,55333.333333333336,118571.42857142858,207500.0,3.0,4.5,Technology,Medium-High,Average
2023,Data Scientist,172500,US,US,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,172500.0,57500.0,123214.28571428572,215625.0,3.0,4.0,Technology,Medium-High,Competitive
2023,Data Scientist,110500,US,US,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,110500.0,36833.333333333336,78928.57142857143,138125.0,3.0,4.0,Technology,Medium-Low,Below Average
2023,Data Engineer,238000,US,US,Data Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,238000.0,79333.33333333333,170000.0,297500.0,2.0,4.5,Technology,High,Competitive
2023,Data Engineer,176000,US,US,Data Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,176000.0,58666.666666666664,125714.28571428572,220000.0,2.0,4.5,Technology,High,Competitive
2023,Data Engineer,237000,US,US,Data Engineer,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,237000.0,79000.0,169285.7142857143,296250.0,3.0,4.5,Technology,High,Competitive
2023,Data Engineer,201450,US,US,Data Engineer,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,201450.0,67150.0,143892.85714285716,251812.5,3.0,4.5,Technology,High,Competitive
2023,Applied Scientist,309400,US,US,Applied Data Scientist,Senior,Full-time,On-site,Large,North America,North America,True,100.0,"Python, PyTorch/TensorFlow, SQL, Domain Expertise",Native,8.5,Other,Technical,Develops AI,8.8,Post-Pandemic,309400.0,103133.33333333333,221000.0,402219.99999999994,2.0,3.8,Technology,High,Highly Competitive
2023,Applied Scientist,159100,US,US,Applied Data Scientist,Senior,Full-time,On-site,Large,North America,North America,True,100.0,"Python, PyTorch/TensorFlow, SQL, Domain Expertise",Native,8.5,Other,Technical,Develops AI,8.8,Post-Pandemic,159100.0,53033.333333333336,113642.85714285714,206829.99999999997,2.0,3.8,Technology,Medium-High,Highly Competitive
2023,Data Engineer,115000,US,US,Data Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,115000.0,38333.333333333336,82142.85714285714,143750.0,2.0,4.5,Technology,Medium-Low,Below Average
2023,Data Engineer,81500,US,US,Data Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,81500.0,27166.666666666668,58214.28571428572,101875.0,2.0,4.5,Technology,Low,Below Average
2023,Data Scientist,237000,US,US,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,237000.0,79000.0,169285.7142857143,296250.0,3.0,4.0,Technology,High,Competitive
2023,Data Scientist,201450,US,US,Data Scientist,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Native,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,201450.0,67150.0,143892.85714285716,251812.5,3.0,4.0,Technology,High,Competitive
2023,Computer Vision Engineer,280000,US,US,MLOps/Infrastructure Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Docker, Kubernetes, CI/CD, Cloud, ML Platforms",Native,8.5,New,DevOps,Supports AI,9.4,Post-Pandemic,280000.0,93333.33333333333,200000.0,350000.0,2.0,3.5,Technology,High,Highly Competitive
2023,Computer Vision Engineer,210000,US,US,MLOps/Infrastructure Engineer,Senior,Full-time,On-site,Medium,North America,North America,True,100.0,"Docker, Kubernetes, CI/CD, Cloud, ML Platforms",Native,8.5,New,DevOps,Supports AI,9.4,Post-Pandemic,210000.0,70000.0,150000.0,262500.0,2.0,3.5,Technology,High,Highly Competitive
2023,Data Architect,280100,US,US,Data Architect,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"System Design, Cloud Architecture, Data Modeling, Governance",Native,8.0,Established,Architecture,Moderately Impacted,9.0,Post-Pandemic,280100.0,93366.66666666667,200071.42857142858,350125.0,3.0,3.0,Technology,High,Highly Competitive
2023,Data Architect,168100,US,US,Data Architect,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"System Design, Cloud Architecture, Data Modeling, Governance",Native,8.0,Established,Architecture,Moderately Impacted,9.0,Post-Pandemic,168100.0,56033.333333333336,120071.42857142858,210125.0,3.0,3.0,Technology,Medium-High,Highly Competitive
2023,Data Engineer,193500,US,US,Data Engineer,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,193500.0,64500.0,138214.2857142857,241875.0,3.0,4.5,Technology,High,Competitive
2023,Data Engineer,139000,US,US,Data Engineer,Senior,Full-time,Remote,Medium,North America,North America,True,100.0,"Python, SQL, Spark, Airflow, Cloud Platforms, ETL",Native,7.5,Established,Technical,Moderately Impacted,9.7,Post-Pandemic,139000.0,46333.333333333336,99285.71428571429,173750.0,3.0,4.5,Technology,Medium-High,Average
2023,Data Scientist,65062,HK,HK,Data Scientist,Mid-Level,Full-time,On-site,Large,Asia,Asia,True,115.0,"Python, R, SQL, Scikit-learn, Pandas, Statistical Analysis",Intermediate,7.0,Established,Technical,Augmented by AI,9.0,Post-Pandemic,56575.65217391305,32531.0,50047.692307692305,84580.59999999999,2.0,4.0,Technology,Low,Below Average
